actinidia_chinensis;Red5_PS1_1.69.0
acyrthosiphon_pisum;pea_aphid_22Mar2018_4r6ur
adineta_vaga;AMS_PRJEB1171_v1
aedes_aegypti;AaegL5
aedes_albopictus;AaloF1
aegilops_tauschii;Aet_v4.0
ailuropoda_melanoleuca;ASM200744v2
amborella_trichopoda;AMTR1.0
amphilophus_citrinellus;Midas_v5
amphimedon_queenslandica;Aqu1
anabas_testudineus;fAnaTes1.2
ananas_comosus;F153
anas_platyrhynchos;ASM874695v1
anas_platyrhynchos_platyrhynchos;CAU_duck1.0
anolis_carolinensis;AnoCar2.0v2
anopheles_albimanus;AalbS2
anopheles_arabiensis;AaraD1
anopheles_atroparvus;atroparvus_hifiasm_n225_277Mb
anopheles_coluzzii;AcolM1
anopheles_culicifacies;AculA1
anopheles_darlingi;AdarC3
anopheles_dirus;AdirW1
anopheles_epiroticus;AepiE1
anopheles_farauti;AfarF2
anopheles_funestus;AfunF3
anopheles_gambiae;AgamP4
anopheles_maculatus;AmacM1
anopheles_melas;AmelC2
anopheles_merus;AmerM2
anopheles_minimus;AminM1
anopheles_quadriannulatus;AquaS1
anopheles_sinensis;AsinS2
anopheles_stephensi;AsteS1
anoplophora_glabripennis;Agla_2.0
aotus_nancymaae;Anan_2.0
apis_mellifera;Amel_HAv3.1
aquila_chrysaetos;bAquChr1.2
arabidopsis_halleri;Ahal2.2
arabidopsis_lyrata;v.1.0
arabidopsis_thaliana;TAIR10
ashbya_gossypii;ASM9102v1
aspergillus_clavatus;ASM271v1
aspergillus_fischeri;ASM14964v1
aspergillus_flavus;JCVI-afl1-v2.0
aspergillus_nidulans;ASM1142v1
aspergillus_niger;ASM285v2
aspergillus_oryzae;ASM18445v3
aspergillus_terreus;ASM14961v1
astatotilapia_calliptera;fAstCal1.2
astyanax_mexicanus;Astyanax_mexicanus-2.0
atta_cephalotes;Attacep1.0
beauveria_bassiana;ASM168263v1
belgica_antarctica;ASM77530v1
beta_vulgaris;RefBeet-1.2.2
betta_splendens;fBetSpl5.2
bigelowiella_natans;Bigna1
biomphalaria_glabrata;BglaB1
bison_bison;Bison_UMD1.0
blumeria_graminis;EF2
bombus_impatiens;BIMP_2.2
bombus_terrestris;Bter_1.0
bombyx_mori;Bmori_2016v1.0
bos_grunniens;LU_Bosgru_v3.0
bos_mutus;BosGru_v2.0
bos_taurus;ARS-UCD1.2
botrytis_cinerea;ASM83294v1
